chain_name,display_name,chain_id,mainnet_public_launch_date,op_based_version,is_law_of_chains,is_contributing_to_opc,is_op_chain,public_rpc,product_website,defillama_slug,l2beat_slug,growthepie_origin_key,gas_token,chain_layer,da_layer,output_root_layer,batchinbox_from,batchinbox_to,outputoracle_from,outputoracle_to_proxy,l1_standard_bridge,system_config_proxy
lyra,Lyra,957,12/13/23,modern,,,,https://rpc.lyra.finance/,https://www.lyra.finance/,protocols/lyra-v2,lyra,,ETH,L2,celestia,ethereum,0x14e4E97bDc195d399Ad8E7FC14451C279FE04c8e,0x5f7f7f6DB967F0ef10BdA0678964DBA185d16c50,0x03e820562ffd2e0390787caD706EaF1FF98C2608,0x1145E7848c8B64c6cab86Fd6D378733385c5C3Ba,0x61E44dC0dae6888B5a301887732217d5725B0bFf,0x0e4C4CDd01ceCB01070E9Fdfe7600871e4ae996e
mode network,Mode,34443,1/31/24,modern,,,yes,https://mainnet.mode.network,https://www.mode.network/,Mode,mode,,ETH,L2,ethereum,ethereum,0x99199a22125034c808ff20f377d91187E8050F2E,0x24E59d9d3Bd73ccC28Dc54062AF7EF7bFF58Bd67,0x674F64D64Ddc198db83cd9047dF54BF89cCD0ddB,0x4317ba146D4933D889518a3e5E11Fe7a53199b04,0x735aDBbE72226BD52e818E7181953f42E3b0FF21,0x5e6432F18Bc5d497B1Ab2288a025Fbf9D69E2221
ancient8 chain,Ancient8,888888888,2/22/24,modern,,,,https://rpc.ancient8.gg/,https://ancient8.gg/,,ancient,,ETH,L2,celestia,ethereum,0x6079e9c37b87fE06D0bDe2431a0fa309826c9b67,0xd5df46c580fD2FBdaEE751dc535E14295C0336F3,0xAF24199C29D5cc3fd298356137913A42847eA690,0xB09DC08428C8b4EFB4ff9C0827386CDF34277996,0x12d4E64E1B46d27A00fe392653A894C1dd36fb80,0x0b4cfc49aCc656CE6D03CB0794860Da92bE3E8ec
rollux,Rollux,570,6/29/23,modern,,,,https://rpc.rollux.com,https://rollux.com/,Rollux,,,SYS,L2,syscoin,unknown,,,,,,
hypr network,Hypr,881,1/17/23,modern develop,,,,https://rpc.hypr.network,https://www.hypr.network/,,hypr,,ETH,L2,celestia,ethereum,0x994c288de8418c8D3c5a4D21A69f35bF9641781C,0x0C57B7f3bAc278bE091431B52470fBAdBc4240E6,0xeF2169180a2eda91B695eA5e5C4f4547C013840c,0x3E4F4Eb77a9c1f88c0e1F5aDCc9d3521Ce157FdD,0x1bBde518ad01BaABFE30020407A7630FB17B545d,0xBB08cf90DEb93492b463f1Ee5DA9453e51643586
blast,Blast,81457,2/29/24,modern,,,,https://rpc.blast.io/,https://blast.io/,Blast,blast,,ETH,L2,ethereum,ethereum,0x415c8893D514F9BC5211d36eEDA4183226b84AA7,0xFf00000000000000000000000000000000081457,0x082b616Ec99167B2FEdee053F07db6795D4dA821,0x826D1B0D4111Ad9146Eb8941D7Ca2B6a44215c76,0x697402166Fbf2F22E970df8a6486Ef171dbfc524,0x5531DcfF39EC1ec727C4c5D2fc49835368F805a9
syndicate frame chain,Syndicate Frame Chain,5101,2/16/24,modern,,,,https://rpc-frame.syndicate.io,https://frame.syndicate.io/,,,,ETH,L3,celestia,base,,,,,,
fraxtal,Fraxtal,252,3/11/24,modern,,,yes,https://rpc.frax.com,https://www.frax.com/,Fraxtal,fraxtal,,frxETH,L2,fraxtalda,ethereum,0x6017f75108f251a488B045A7ce2a7C15b179d1f2,0xfF000000000000000000000000000000000420fC,0xFb90465f3064fF63FC460F01A6307eC73d64bc50,0x66CC916Ed5C6C2FA97014f7D1cD141528Ae171e4,0x34C0bD5877A5Ee7099D0f5688D65F4bB9158BDE2,0x34a9f273cbD847d49c3De015FC26c3E66825f8b2
goldchain,Gold,4653,2/26/24,modern,,,,https://chain-rpc.gold.dev,https://www.gold.dev/,,,,ETH,L3,celestia,base,,,,,,
pontem lumio,SuperLumio,8866,2/28/24,modern,,,,https://mainnet.lumio.io/,https://lumio.io/,,,,ETH,L2,ethereum,ethereum,0x5c53f2fF1030C7fbC0616fD5B8fC6bE97aa27e00,0x5c53f2fF1030C7fbC0616fD5B8fC6bE97aa27e00,0xb6E2Eee22b684f6AAb2083097F7E874994bA930e,0xffB004874CbBF8692B5f397B602f4B8a630aeD59,0xdB5C6b73CB1c5875995a42D64C250BF8BC69a8bc,0xFb252d6199AEfeE6938a1c57213AAd96ecD2650c
karak,Karak,2410,2/27/24,modern,,,,https://rpc.karak.network,https://karak.network/,,karak,,ETH,L2,celestia,ethereum,0x84BdFb21ed7C8B332a42bFD595744a84F3101e4E,0xff00000000000000000000000000000000002410,0x4179f43f3b994e97090557363b09F403138a729e,0x0a23342520Aa8Ca963c4201801F4D3E95e731637,0xBA61F25dd9f2d5f02D01B1C2c1c5F0B14c4B48A3,0x622333688CC1878C7ff4205c89bDe051798788A7
