badgeholder_address,round_allocation,category_allocation,declared_COIs
0xf68d2bfcecd7895bba05a7451dd09a1749026454,3500000,"[{'GOVERNANCE_LEADERSHIP': '70'}, {'GOVERNANCE_INFRA_AND_TOOLING': '20'}, {'GOVERNANCE_ANALYTICS': '10'}]",[]
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,2000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '60'}, {'GOVERNANCE_ANALYTICS': '20'}, {'GOVERNANCE_LEADERSHIP': '20'}]",['0x68cdb59ed5563c1edca8cfff204b1ac995265183d2dd86b65c4f59dc4490e5ea']
0x60d02a613da7181278e9f48241fdcc0b6ec28b7f,2250000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '40'}, {'GOVERNANCE_ANALYTICS': '35'}, {'GOVERNANCE_LEADERSHIP': '25'}]",[]
0x5d490c4a0b5d12c317e24d5198becfa304f72929,2000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '60'}, {'GOVERNANCE_ANALYTICS': '20'}, {'GOVERNANCE_LEADERSHIP': '20'}]",[]
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,2100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '33.34'}, {'GOVERNANCE_ANALYTICS': '33.33'}, {'GOVERNANCE_LEADERSHIP': '33.33'}]",[]
0xd477cf2d2499620a2736bc9c0e7cf6939c29f4f9,3000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '45'}, {'GOVERNANCE_LEADERSHIP': '35'}, {'GOVERNANCE_ANALYTICS': '20'}]",[]
0x69e271483c38ed4902a55c3ea8aab9e7cc8617e5,2800000,"[{'GOVERNANCE_LEADERSHIP': '44'}, {'GOVERNANCE_INFRA_AND_TOOLING': '31'}, {'GOVERNANCE_ANALYTICS': '25'}]",['0x37e91d46de30b951a7736642b114b73763cccea2cbbfb6ff7553556935af6e7d']
0x308fedfb88f6e85f27b85c8011ccb9b5e15bcbf7,1100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '40.00591103886508'}, {'GOVERNANCE_ANALYTICS': '39.99408896113492'}, {'GOVERNANCE_LEADERSHIP': '20'}]",[]
0x9a608d9f416518b5f11acf3dc5594c90d6998e2c,3000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '40.34'}, {'GOVERNANCE_LEADERSHIP': '29.83'}, {'GOVERNANCE_ANALYTICS': '29.83'}]",['0x9d5d111aeaf059e96473230efd6dcf81dfc8c8dec07f67d4bba1e0e68c87cd1e']
0x1d3bf13f8f7a83390d03db5e23a950778e1d1309,2050000,"[{'GOVERNANCE_LEADERSHIP': '42.33'}, {'GOVERNANCE_ANALYTICS': '36.33035292041644'}, {'GOVERNANCE_INFRA_AND_TOOLING': '21.34'}]",[]
0x033f68fd9df6bac726e6651e95ac399dbca3dc58,2400000,"[{'GOVERNANCE_LEADERSHIP': '62.5'}, {'GOVERNANCE_INFRA_AND_TOOLING': '18.75281235938203'}, {'GOVERNANCE_ANALYTICS': '18.74718764061797'}]",[]
0xf2019c719303513133d41113d6d40353745aac4d,2500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '40'}, {'GOVERNANCE_ANALYTICS': '35'}, {'GOVERNANCE_LEADERSHIP': '25'}]",[]
0x34af620a0077b061eafa94bbb945181019e5b6d7,2200000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '50'}, {'GOVERNANCE_LEADERSHIP': '35'}, {'GOVERNANCE_ANALYTICS': '15'}]",[]
0xd35e119782059a27fead4edda8b555f393650bc8,1500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '50'}, {'GOVERNANCE_LEADERSHIP': '30'}, {'GOVERNANCE_ANALYTICS': '20'}]",[]
0x925afeb19355e289ed1346ede709633ca8788b25,1500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '33.34'}, {'GOVERNANCE_LEADERSHIP': '33.33'}, {'GOVERNANCE_ANALYTICS': '33.33'}]",[]
0x2f51e78ff8aec6a941c4ceeeb26b4a1f03737c50,2000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '45'}, {'GOVERNANCE_ANALYTICS': '30'}, {'GOVERNANCE_LEADERSHIP': '25'}]","['0x7c017eb542b97933cb41485a4872fe191476275366ea55b66534d41f6e32ecd7', '0x7e3dd2a1a16c51177e08b3275cc2ae1b037450b499988d0042a7f9451d20125d']"
0x29c4dbc1a81d06c9aa2faed93bb8b4a78f3eabdb,3000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '75'}, {'GOVERNANCE_ANALYTICS': '15'}, {'GOVERNANCE_LEADERSHIP': '10'}]","['0x8922c80674df0e50e56cd703e5073ca21073d7fb518b0a3f35fe0f97327d5d43', '0xd584cebedccfbb017f6cd9ab61d007a2aee9587b6923aee0d133ee9048973f7c', '0x3793348de3c2d43782234f8bed581d2948b3379f60a510e1ebc5b46c3050a860', '0x49fc537384bf71ec1ed6f45b8d628f76f1f5c892fe487401f86c2584b1472666', '0x7ebd785a295d691be7045ee2cb3b12e8fa6175bac58a8f285ede6221f8a4e906']"
0x9b48e28cf3afbadd21e9c026a38a1bdd25c77073,3000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '45'}, {'GOVERNANCE_ANALYTICS': '27.5'}, {'GOVERNANCE_LEADERSHIP': '27.5'}]",['0xd0cb7048d7d7204f14a95cad824992f306958530f30f84e070745ef14f853468']
0xabf28f8d9adfb2255f4a059e37d3bce9104969db,1100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '50'}, {'GOVERNANCE_ANALYTICS': '30'}, {'GOVERNANCE_LEADERSHIP': '20'}]",['0xe02a838562a601703a36cc2629b71f82f8014f2740ad566fed4ee46ecbe5a382']
0x1f5d295778796a8b9f29600a585ab73d452acb1c,2000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '50'}, {'GOVERNANCE_ANALYTICS': '30'}, {'GOVERNANCE_LEADERSHIP': '20'}]",['0x26d1186a0d4350e5b6c362372cacf08b29963e305f5ac08ce48e27eaadc4f8cc']
0xe422d6c46a69e989ba6468ccd0435cb0c5c243e3,1500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '50'}, {'GOVERNANCE_ANALYTICS': '25'}, {'GOVERNANCE_LEADERSHIP': '25'}]",['0xf8e61280e3edad6939317b7371effc1377baed305f70afc425a0e32aaa3cd34c']
0x585639fbf797c1258eba8875c080eb63c833d252,3500000,"[{'GOVERNANCE_LEADERSHIP': '75'}, {'GOVERNANCE_INFRA_AND_TOOLING': '25'}, {'GOVERNANCE_ANALYTICS': '0'}]","['0x297c7878e1911034233762d2fe74d1c9920c45339c5dbc2435bf6485fa4bfb88', '0x7cfc058d21a44d62f3fe2d54a6124907e03e9f45b0d2f2a5d2f678909ead6908', '0x60efd5b2ab055c8ce8425e10290f6e10e077ef2b822f630ce6a89e3b03aaa27d']"
0x56c246b01fbd17695a8579e8b3f0e4f7a1e9ccfc,3500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '50'}, {'GOVERNANCE_ANALYTICS': '25.92'}, {'GOVERNANCE_LEADERSHIP': '24.08'}]",[]
0x00409fc839a2ec2e6d12305423d37cd011279c09,2750000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '55'}, {'GOVERNANCE_ANALYTICS': '30'}, {'GOVERNANCE_LEADERSHIP': '15'}]",[]
0x50f1d3b9f5811f333e7ef77d14b470ceaa08e905,1100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '37.3400717669011'}, {'GOVERNANCE_ANALYTICS': '35.33'}, {'GOVERNANCE_LEADERSHIP': '27.33'}]",[]
0xd31b671f1a398b519222fdaba5ab5464b9f2a3fa,1100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '60'}, {'GOVERNANCE_ANALYTICS': '35'}, {'GOVERNANCE_LEADERSHIP': '5'}]",[]
0x57893e666bd15e886d74751b0879361a3383b57a,2000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '50.34'}, {'GOVERNANCE_LEADERSHIP': '24.83'}, {'GOVERNANCE_ANALYTICS': '24.83'}]",[]
0xc2e2b715d9e302947ec7e312fd2384b5a1296099,3500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '33.34'}, {'GOVERNANCE_ANALYTICS': '33.33'}, {'GOVERNANCE_LEADERSHIP': '33.33'}]","['0x7e3dd2a1a16c51177e08b3275cc2ae1b037450b499988d0042a7f9451d20125d', '0xd1616c95b99f6b04b37a2113aaac75131ee19ec9cc5f028d2a57127419b560e2']"
0x92bf20563e747b2f8711549be17a9d7b876c4053,1100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '55'}, {'GOVERNANCE_ANALYTICS': '35'}, {'GOVERNANCE_LEADERSHIP': '10'}]",[]
0x842d45cdb8999d2067578e010cd43f063d873c90,3500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '33.34'}, {'GOVERNANCE_ANALYTICS': '33.33'}, {'GOVERNANCE_LEADERSHIP': '33.33'}]",[]
0x396a34c10b11e33a4bf6f3e6a419a23c54ad34fb,1100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '60'}, {'GOVERNANCE_ANALYTICS': '20'}, {'GOVERNANCE_LEADERSHIP': '20'}]",[]
0x801707059a55d748b23b02043c71b7a3d976f071,3000000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '45'}, {'GOVERNANCE_ANALYTICS': '27.5'}, {'GOVERNANCE_LEADERSHIP': '27.5'}]",[]
0x434f5325ddcdbbfcce64be2617c72c4aa33ec3e7,3500000,"[{'GOVERNANCE_LEADERSHIP': '50'}, {'GOVERNANCE_INFRA_AND_TOOLING': '25.00380691335465'}, {'GOVERNANCE_ANALYTICS': '24.99619308664535'}]",[]
0x098dae445f21d855372805deea64a4f9fce8b4cf,3500000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '42.34'}, {'GOVERNANCE_ANALYTICS': '29.83'}, {'GOVERNANCE_LEADERSHIP': '27.83'}]",[]
0xdb150346155675dd0c93efd960d5985244a34820,1100000,"[{'GOVERNANCE_INFRA_AND_TOOLING': '40'}, {'GOVERNANCE_ANALYTICS': '30'}, {'GOVERNANCE_LEADERSHIP': '30'}]",[]
